id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2025-1186575,2025-07-11,000001,Vente,505000,4,,RUE DE L ALMA,0060,92600,92004,Asnières-sur-Seine,92,,,920040000X0088,,,69,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.283504,48.914789
2025-1186576,2025-07-23,000001,Vente,1887970,119,,RUE DU PDT WILSON,7170,92300,92044,Levallois-Perret,92,,,920440000J0006,,,202,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.285458,48.897073
2025-1186576,2025-07-23,000001,Vente,1887970,119,,RUE DU PDT WILSON,7170,92300,92044,Levallois-Perret,92,,,920440000J0006,,,201,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.285458,48.897073
2025-1186576,2025-07-23,000001,Vente,1887970,119,,RUE DU PDT WILSON,7170,92300,92044,Levallois-Perret,92,,,920440000J0006,,,240,120.71,,,,,,,,,1,2,Appartement,60,3,,,,,,2.285458,48.897073
2025-1186576,2025-07-23,000001,Vente,1887970,119,,RUE DU PDT WILSON,7170,92300,92044,Levallois-Perret,92,,,920440000J0006,,,183,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.285458,48.897073
2025-1186576,2025-07-23,000001,Vente,1887970,119,,RUE DU PDT WILSON,7170,92300,92044,Levallois-Perret,92,,,920440000J0006,,,182,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.285458,48.897073
2025-1186577,2025-07-18,000001,Vente,359520,291,,BD SAINT DENIS,8620,92400,92026,Courbevoie,92,,,92026000AX0079,,,1,,74,42.33,,,,,,,2,3,Dépendance,,0,,,,,,2.274931,48.903016
2025-1186577,2025-07-18,000001,Vente,359520,291,,BD SAINT DENIS,8620,92400,92026,Courbevoie,92,,,92026000AX0079,,,1,,74,42.33,,,,,,,2,2,Appartement,41,2,,,,,,2.274931,48.903016
2025-1186577,2025-07-18,000001,Vente,359520,291,,BD SAINT DENIS,8620,92400,92026,Courbevoie,92,,,92026000AX0079,,,40,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.274931,48.903016
2025-1186578,2025-07-04,000001,Vente,409600,192,,BD SAINT DENIS,8620,92400,92026,Courbevoie,92,,,92026000BG0012,,,124,45.64,139,,,,,,,,2,2,Appartement,48,2,,,,,,2.272855,48.90119
2025-1186578,2025-07-04,000001,Vente,409600,192,,BD SAINT DENIS,8620,92400,92026,Courbevoie,92,,,92026000BG0012,,,124,45.64,139,,,,,,,,2,3,Dépendance,,0,,,,,,2.272855,48.90119
2025-1186579,2025-07-23,000001,Vente en l'état futur d'achèvement,375130,,,,,,92078,Villeneuve-la-Garenne,92,,,920780000O0089,,,7064,,,,,,,,,,1,,,,,,,,,,2.326187,48.924961
2025-1186579,2025-07-23,000001,Vente en l'état futur d'achèvement,375130,,,,,,92078,Villeneuve-la-Garenne,92,,,920780000O0089,,,11424,,,,,,,,,,1,,,,,,,,,,2.326187,48.924961
2025-1186580,2025-07-08,000001,Vente,396000,34,,RUE CLUSERET,1520,92150,92073,Suresnes,92,,,92073000AJ0059,,,,,,,,,,,,,0,1,Maison,54,3,S,sols,,,139,2.219106,48.868813
2025-1186580,2025-07-08,000001,Vente,396000,34,,RUE CLUSERET,1520,92150,92073,Suresnes,92,,,92073000AJ0059,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,139,2.219106,48.868813
2025-1186580,2025-07-08,000001,Vente,396000,34,,RUE CLUSERET,1520,92150,92073,Suresnes,92,,,92073000AJ0059,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,139,2.219106,48.868813
2025-1186581,2025-07-11,000001,Vente,5044185.23,7,,AV MEHUL,2600,92500,92063,Rueil-Malmaison,92,,,92063000BO0085,,,,,,,,,,,,,0,3,Dépendance,,0,J,jardins,POTAG,Jardin potager,694,2.16567,48.872251
2025-1186581,2025-07-11,000001,Vente,5044185.23,7,,AV MEHUL,2600,92500,92063,Rueil-Malmaison,92,,,92063000BO0085,,,,,,,,,,,,,0,1,Maison,450,11,S,sols,,,1214,2.16567,48.872251
2025-1186581,2025-07-11,000001,Vente,5044185.23,7,,AV MEHUL,2600,92500,92063,Rueil-Malmaison,92,,,92063000BO0085,,,,,,,,,,,,,0,1,Maison,29,3,J,jardins,POTAG,Jardin potager,694,2.16567,48.872251
2025-1186581,2025-07-11,000001,Vente,5044185.23,7,,AV MEHUL,2600,92500,92063,Rueil-Malmaison,92,,,92063000BO0085,,,,,,,,,,,,,0,1,Maison,29,3,S,sols,,,1214,2.16567,48.872251
2025-1186581,2025-07-11,000001,Vente,5044185.23,7,,AV MEHUL,2600,92500,92063,Rueil-Malmaison,92,,,92063000BO0085,,,,,,,,,,,,,0,1,Maison,450,11,J,jardins,POTAG,Jardin potager,694,2.16567,48.872251
2025-1186581,2025-07-11,000001,Vente,5044185.23,7,,AV MEHUL,2600,92500,92063,Rueil-Malmaison,92,,,92063000BO0085,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,1214,2.16567,48.872251
2025-1186582,2025-07-17,000001,Vente,540000,112,,RUE MARTRE,6140,92110,92024,Clichy,92,,,920240000K0257,,,8017,87.38,8037,,,,,,,,2,2,Appartement,87,4,,,,,,2.304539,48.905751
2025-1186582,2025-07-17,000001,Vente,540000,112,,RUE MARTRE,6140,92110,92024,Clichy,92,,,920240000K0257,,,8017,87.38,8037,,,,,,,,2,3,Dépendance,,0,,,,,,2.304539,48.905751
2025-1186582,2025-07-17,000001,Vente,540000,3,,RUE DES BATELIERS,0630,92110,92024,Clichy,92,,,920240000K0257,,,11027,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.304539,48.905751
2025-1186583,2025-07-03,000001,Vente,190000,53,,RUE EDITH CAVELL,3120,92400,92026,Courbevoie,92,,,92026000AS0021,,,31,36.83,42,,,,,,,,2,2,Appartement,33,2,,,,,,2.267179,48.903967
2025-1186584,2025-07-15,000001,Vente,3491000,18,,RUE SAINT PIERRE,8860,92200,92051,Neuilly-sur-Seine,92,,,92051000AF0044,,,66,157.03,,,,,,,,,1,3,Dépendance,,0,,,,,,2.271715,48.883114
2025-1186584,2025-07-15,000001,Vente,3491000,20,,RUE SAINT PIERRE,8860,92200,92051,Neuilly-sur-Seine,92,,,92051000AF0044,,,139,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.271715,48.883114
2025-1186584,2025-07-15,000001,Vente,3491000,18,,RUE SAINT PIERRE,8860,92200,92051,Neuilly-sur-Seine,92,,,92051000AF0044,,,66,157.03,,,,,,,,,1,2,Appartement,157,6,,,,,,2.271715,48.883114
2025-1186584,2025-07-15,000001,Vente,3491000,20,,RUE SAINT PIERRE,8860,92200,92051,Neuilly-sur-Seine,92,,,92051000AF0044,,,138,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.271715,48.883114
2025-1186585,2025-07-11,000001,Vente,646000,9,,RUE DU GUE,1750,92500,92063,Rueil-Malmaison,92,,,92063000AR0161,,,35,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.184464,48.878683
2025-1186585,2025-07-11,000001,Vente,646000,13,,RUE DU GUE,1750,92500,92063,Rueil-Malmaison,92,,,92063000AR0162,,,1,83.53,4,,,,,,,,2,2,Appartement,72,3,,,,,,2.184253,48.87859
2025-1186586,2025-07-07,000001,Vente,347100,15,,RUE LOUIS BLANC,5150,92250,92035,La Garenne-Colombes,92,,,920350000M0274,,,16,,24,,,,,,,,2,3,Dépendance,,0,,,,,,2.248797,48.91058
